@relation SerieA

@attribute homeTeam {Atalanta,Bologna,Cagliari,Chievo,Crotone,Empoli,Fiorentina,Genoa,Inter,Juventus,Lazio,Milan,Napoli,Palermo,Pescara,Roma,Sampdoria,Sassuolo,Torino,Udinese}
@attribute awayTeam {Atalanta,Bologna,Cagliari,Chievo,Crotone,Empoli,Fiorentina,Genoa,Inter,Juventus,Lazio,Milan,Napoli,Palermo,Pescara,Roma,Sampdoria,Sassuolo,Torino,Udinese}
@attribute homeGoalFT numeric
@attribute awayGoalFT numeric
@attribute resultFT {H,A}
@attribute homeGoalHT numeric
@attribute awayGoalHT numeric
@attribute homeShot numeric
@attribute awayShot numeric
@attribute homeShotTarget numeric
@attribute awayShotTarget numeric
@attribute homeCorner numeric
@attribute awayCorner numeric
@attribute homeFouls numeric
@attribute awayFouls numeric
@attribute homeYellow numeric
@attribute awayYellow numeric
@attribute homeRed numeric
@attribute awayRed numeric
@attribute differenceGoalHT numeric
@attribute pctHShot numeric

@data
Juventus,Inter,1,0,H,1,0,14,12,6,2,6,8,14,16,5,3,0,1,1,0.538462
Milan,Sampdoria,0,1,A,0,0,20,7,6,3,8,3,16,12,3,2,1,0,0,0.740741
Palermo,Crotone,1,0,H,1,0,12,9,4,1,3,2,12,25,2,2,0,1,1,0.571429
Pescara,Lazio,2,6,A,2,2,14,17,6,10,2,4,13,16,0,1,0,0,0,0.451613
Roma,Fiorentina,4,0,H,1,0,23,13,8,2,6,3,10,15,2,3,0,0,1,0.638889
Bologna,Milan,0,1,A,0,0,20,5,5,4,7,9,13,14,5,2,0,2,0,0.8
Crotone,Juventus,0,2,A,0,0,5,17,2,11,0,1,13,11,0,1,0,0,0,0.227273
Napoli,Genoa,2,0,H,0,0,20,6,8,3,12,4,7,11,1,2,0,0,0,0.769231
Fiorentina,Udinese,3,0,H,1,0,14,9,6,4,4,3,13,15,2,2,0,0,1,0.608696
Cagliari,Juventus,0,2,A,0,1,14,13,3,3,6,1,20,14,2,5,1,0,-1,0.518519
Crotone,Roma,0,2,A,0,1,13,15,4,3,2,5,15,14,0,0,0,0,-1,0.464286
Inter,Empoli,2,0,H,1,0,19,6,8,3,9,2,21,12,1,2,0,0,1,0.76
Palermo,Atalanta,1,3,A,1,2,13,21,5,5,6,3,15,12,3,1,0,0,-1,0.382353
Sampdoria,Bologna,3,1,H,0,1,18,10,5,2,11,4,12,14,2,4,0,0,-1,0.642857
Sassuolo,Chievo,1,3,A,1,1,13,19,5,7,6,3,16,7,0,3,1,0,0,0.40625
Torino,Pescara,5,3,H,3,0,19,8,9,5,7,5,20,12,1,3,0,0,3,0.703704
Lazio,Milan,1,1,H,1,0,23,9,10,4,5,8,14,14,2,2,0,0,1,0.71875
Juventus,Palermo,4,1,H,2,0,14,8,7,3,8,3,12,12,1,1,0,0,2,0.636364
Atalanta,Crotone,1,0,H,0,0,14,5,3,2,4,3,15,18,2,5,0,0,0,0.736842
Empoli,Lazio,1,2,A,0,0,6,21,2,8,1,9,14,7,3,1,0,0,0,0.222222
Bologna,Inter,0,1,A,0,0,8,16,1,5,1,7,18,18,1,4,0,0,0,0.333333
Chievo,Napoli,1,3,A,0,2,13,17,3,6,6,5,11,13,1,0,0,0,-2,0.433333
Milan,Fiorentina,2,1,H,2,1,6,18,4,7,3,7,11,13,3,2,0,0,1,0.25
Pescara,Genoa,5,0,H,3,0,8,13,6,2,5,9,14,15,2,1,0,0,3,0.380952
Roma,Torino,4,1,H,2,0,20,12,7,4,5,6,14,9,0,2,0,0,2,0.625
Sampdoria,Cagliari,1,1,H,1,1,13,10,2,4,4,4,21,23,4,6,0,0,0,0.565217
Udinese,Sassuolo,1,2,A,1,0,10,14,5,6,7,8,8,10,3,2,0,0,1,0.416667
Juventus,Empoli,2,0,H,0,0,24,6,6,1,3,1,12,11,0,1,0,0,0,0.8
Napoli,Atalanta,0,2,A,0,1,20,8,8,5,7,10,8,10,1,1,0,1,-1,0.714286
Chievo,Pescara,2,0,H,1,0,20,13,8,3,6,6,12,16,3,3,0,0,1,0.606061
Crotone,Cagliari,1,2,A,1,1,19,7,1,2,6,1,14,11,3,1,0,0,0,0.730769
Genoa,Bologna,1,1,H,0,0,20,13,6,4,6,2,15,6,1,1,0,1,0,0.606061
Inter,Roma,1,3,A,0,1,13,12,3,5,10,2,12,22,2,2,0,0,-1,0.52
Lazio,Udinese,1,0,H,0,0,8,13,2,3,5,6,13,17,2,3,0,0,0,0.380952
Palermo,Sampdoria,1,1,H,1,0,16,11,6,3,7,5,11,15,2,2,0,0,1,0.592593
Sassuolo,Milan,0,1,A,0,1,12,13,5,6,14,8,20,17,6,3,0,0,-1,0.48
Fiorentina,Torino,2,2,H,2,0,19,13,7,5,9,6,17,11,1,2,0,0,2,0.59375
Milan,Chievo,3,1,H,1,1,22,9,6,3,11,7,17,15,2,1,0,0,0,0.709677
Roma,Napoli,1,2,A,0,1,22,13,4,4,6,6,11,12,3,2,0,0,-1,0.628571
Sampdoria,Pescara,3,1,H,1,1,19,11,7,4,7,2,18,12,0,2,0,0,0,0.633333
Atalanta,Fiorentina,0,0,H,0,0,16,9,4,2,9,5,18,15,2,4,0,0,0,0.64
Bologna,Lazio,0,2,A,0,1,9,13,3,6,1,6,9,19,2,1,0,0,-1,0.409091
Cagliari,Inter,1,5,A,1,2,7,22,4,10,6,11,10,13,2,0,0,0,-1,0.241379
Crotone,Sassuolo,0,0,H,0,0,16,9,1,1,8,9,15,11,3,1,0,0,0,0.64
Empoli,Genoa,0,2,A,0,0,7,8,2,4,3,1,7,23,3,2,0,0,0,0.466667
Torino,Palermo,3,1,H,0,1,25,7,6,3,10,1,14,12,0,2,0,1,-1,0.78125
Udinese,Juventus,1,1,H,1,0,10,9,5,3,3,7,17,20,2,2,0,0,1,0.526316
Juventus,Milan,2,1,H,1,1,24,6,11,2,10,2,8,21,3,4,0,1,0,0.8
Genoa,Sampdoria,0,1,A,0,0,7,13,3,4,5,2,16,6,4,4,0,0,0,0.35
Chievo,Empoli,4,0,H,2,0,13,12,9,4,2,6,16,18,0,1,0,0,2,0.52
Fiorentina,Cagliari,1,0,H,0,0,26,12,9,5,8,3,8,8,2,1,0,0,0,0.684211
Inter,Atalanta,7,1,H,5,1,12,10,8,3,6,7,19,16,3,4,0,0,4,0.545455
Napoli,Crotone,3,0,H,1,0,15,6,6,2,10,2,10,10,1,3,0,0,1,0.714286
Palermo,Roma,0,3,A,0,1,9,15,3,5,5,4,12,12,2,3,0,0,-1,0.375
Pescara,Udinese,1,3,A,0,1,12,10,3,6,4,3,12,14,2,3,0,0,-1,0.545455
Sassuolo,Bologna,0,1,A,0,0,13,11,5,1,7,7,20,15,3,5,0,0,0,0.541667
Lazio,Torino,3,1,H,0,0,23,6,5,2,6,2,20,11,3,1,0,0,0,0.793103
Milan,Genoa,1,0,H,1,0,20,8,5,2,5,5,7,14,1,2,0,0,1,0.714286
Torino,Inter,2,2,H,1,1,17,19,5,4,5,8,19,10,1,0,0,0,0,0.472222
Atalanta,Pescara,3,0,H,1,0,18,6,7,1,7,5,19,15,2,2,0,0,1,0.75
Bologna,Chievo,4,1,H,0,1,18,11,5,4,8,3,19,16,2,3,0,0,-1,0.62069
Cagliari,Lazio,0,0,H,0,0,4,14,1,4,3,9,11,14,3,2,0,0,0,0.222222
Crotone,Fiorentina,0,1,A,0,0,11,27,1,10,2,1,16,14,1,1,0,0,0,0.289474
Empoli,Napoli,2,3,A,0,3,10,11,4,6,2,1,25,16,3,4,0,0,-3,0.47619
Roma,Sassuolo,3,1,H,2,1,22,9,8,4,11,7,6,9,1,2,0,0,1,0.709677
Sampdoria,Juventus,0,1,A,0,1,10,9,5,5,2,5,6,10,1,1,0,0,-1,0.526316
Udinese,Palermo,4,1,H,1,1,13,6,10,2,5,5,16,20,3,2,0,1,0,0.684211
Roma,Empoli,2,0,H,1,0,20,12,5,3,14,4,17,6,0,1,0,0,1,0.625
Sassuolo,Lazio,1,2,A,1,1,9,12,3,4,2,3,13,12,2,4,0,0,0,0.428571
Chievo,Crotone,1,2,A,0,0,16,16,4,7,2,8,9,9,2,2,0,0,0,0.5
Fiorentina,Bologna,1,0,H,0,0,18,5,6,1,11,1,12,13,3,2,0,0,0,0.782609
Genoa,Atalanta,0,5,A,0,2,8,22,4,13,3,7,14,16,3,1,1,0,-2,0.266667
Napoli,Juventus,1,1,H,0,1,17,4,4,1,5,2,11,9,1,0,0,0,-1,0.809524
Palermo,Cagliari,1,3,A,1,0,14,17,5,9,13,4,13,15,3,1,0,0,1,0.451613
Pescara,Milan,1,1,H,1,1,8,26,3,5,5,7,26,9,5,3,0,0,0,0.235294
Torino,Udinese,2,2,H,0,0,22,8,7,3,13,2,14,16,1,3,0,0,0,0.733333
Inter,Sampdoria,1,2,A,1,0,18,11,5,3,16,2,14,12,2,0,0,0,1,0.62069
Atalanta,Sassuolo,1,1,H,0,1,18,4,7,2,11,2,13,15,3,4,0,0,-1,0.818182
Empoli,Pescara,1,1,H,1,1,14,14,4,4,7,5,15,15,2,3,0,0,0,0.5
Juventus,Chievo,2,0,H,1,0,17,10,6,3,10,2,8,12,1,2,0,0,1,0.62963
Bologna,Roma,0,3,A,0,2,13,11,4,5,6,5,14,9,3,2,0,0,-2,0.541667
Cagliari,Torino,2,3,A,1,2,10,13,2,5,5,2,22,13,2,3,0,1,-1,0.434783
Crotone,Inter,2,1,H,2,0,12,17,7,4,3,7,15,14,4,2,0,0,2,0.413793
Lazio,Napoli,0,3,A,0,1,17,12,5,7,3,4,10,7,3,3,0,0,-1,0.586207
Milan,Palermo,4,0,H,3,0,14,8,10,2,8,5,10,14,1,2,0,1,3,0.636364
Sampdoria,Fiorentina,2,2,H,1,0,10,19,4,4,4,10,19,15,2,1,0,0,1,0.344828
Udinese,Genoa,3,0,H,2,0,9,13,3,3,7,5,13,13,2,2,0,0,2,0.409091
Cagliari,Chievo,4,0,H,3,0,23,16,11,2,1,4,20,16,2,2,0,0,3,0.589744
Fiorentina,Empoli,1,2,A,0,1,18,11,7,5,8,7,17,18,4,5,1,0,-1,0.62069
Genoa,Lazio,2,2,H,1,1,13,21,6,6,7,7,15,13,4,4,0,0,0,0.382353
Inter,Milan,2,2,H,2,0,10,14,4,6,2,8,11,10,3,2,0,0,2,0.416667
Napoli,Udinese,3,0,H,0,0,19,7,6,2,15,2,8,8,0,1,0,0,0,0.730769
Palermo,Bologna,0,0,H,0,0,16,7,2,4,3,5,14,10,4,2,0,1,0,0.695652
Pescara,Juventus,0,2,A,0,2,6,14,2,7,2,1,19,12,4,1,0,0,-2,0.3
Roma,Atalanta,1,1,H,0,1,21,6,5,1,11,3,8,21,2,3,0,0,-1,0.777778
Sassuolo,Sampdoria,2,1,H,0,1,8,13,3,3,11,6,13,14,3,2,0,0,-1,0.380952
Torino,Crotone,1,1,H,0,0,24,8,8,1,11,5,12,12,2,3,0,0,0,0.75
Atalanta,Bologna,3,2,H,2,1,5,11,3,6,3,3,17,19,2,3,0,0,1,0.3125
Fiorentina,Inter,5,4,H,1,2,13,10,9,6,7,10,10,11,3,1,0,0,-1,0.565217
Chievo,Torino,1,3,A,0,0,13,22,3,5,5,9,12,11,1,1,0,0,0,0.371429
Juventus,Genoa,4,0,H,3,0,18,11,4,2,4,2,10,13,0,1,0,0,3,0.62069
Lazio,Palermo,6,2,H,5,0,17,7,7,2,5,2,10,8,1,1,0,0,5,0.708333
Milan,Empoli,1,2,A,0,1,28,11,12,7,10,4,15,17,3,4,0,0,-1,0.717949
Sampdoria,Crotone,1,2,A,1,0,10,14,5,6,5,9,9,13,2,3,0,0,1,0.416667
Sassuolo,Napoli,2,2,H,0,0,8,20,4,6,2,9,9,16,3,1,0,0,0,0.285714
Udinese,Cagliari,2,1,H,0,0,18,12,5,3,7,2,11,15,1,1,0,0,0,0.6
Pescara,Roma,1,4,A,0,2,16,23,4,6,9,5,10,12,2,0,0,0,-2,0.410256
Atalanta,Juventus,2,2,H,1,0,13,16,7,8,7,10,13,9,3,2,0,0,1,0.448276
Torino,Sampdoria,1,1,H,0,1,25,7,5,4,4,3,12,9,1,2,0,0,-1,0.78125
Bologna,Udinese,4,0,H,2,0,11,6,6,2,5,10,13,13,1,3,0,0,2,0.647059
Cagliari,Pescara,1,0,H,1,0,15,14,4,8,3,5,16,17,1,4,0,0,1,0.517241
Crotone,Milan,1,1,H,1,0,11,13,3,7,6,11,17,14,3,1,0,1,1,0.458333
Empoli,Sassuolo,1,3,A,1,2,18,11,9,6,12,4,11,13,2,3,0,0,-1,0.62069
Genoa,Chievo,1,2,A,1,0,15,8,1,2,3,4,15,16,1,2,0,1,1,0.652174
Inter,Napoli,0,1,A,0,1,14,16,3,4,8,4,9,9,2,2,0,0,-1,0.466667
Palermo,Fiorentina,2,0,H,1,0,10,13,2,3,1,9,10,9,2,2,0,1,1,0.434783
Roma,Lazio,1,3,A,1,1,12,14,6,7,8,5,10,10,0,4,1,0,0,0.461538
Juventus,Torino,1,1,H,0,0,22,9,5,2,12,1,15,11,3,2,0,1,0,0.709677
Napoli,Cagliari,3,1,H,1,0,28,8,9,3,7,2,4,6,1,0,0,0,1,0.777778
Chievo,Palermo,1,1,H,0,0,5,15,2,5,5,7,20,20,3,3,0,0,0,0.25
Empoli,Bologna,3,1,H,2,1,20,6,8,3,5,1,20,18,1,2,0,0,1,0.769231
Genoa,Inter,1,0,H,0,0,10,11,5,4,4,3,16,26,4,2,0,1,0,0.47619
Lazio,Sampdoria,7,3,H,5,1,19,8,11,7,11,2,13,6,0,1,0,1,4,0.703704
Milan,Roma,1,4,A,0,2,13,24,2,10,9,7,12,9,4,1,1,0,-2,0.351351
Pescara,Crotone,0,1,A,0,0,10,13,2,3,5,6,15,21,3,2,1,0,0,0.434783
Sassuolo,Fiorentina,2,2,H,0,1,12,13,8,6,10,6,16,19,5,2,0,1,-1,0.48
Udinese,Atalanta,1,1,H,0,1,12,9,5,4,3,5,15,19,4,3,0,0,-1,0.571429
Atalanta,Milan,1,1,H,1,0,14,13,7,4,10,5,11,8,2,1,0,0,1,0.518519
Fiorentina,Lazio,3,2,H,0,0,18,14,9,5,4,6,14,17,2,3,0,0,0,0.5625
Bologna,Pescara,3,1,H,1,1,15,15,7,4,9,5,9,13,2,2,0,0,0,0.5
Cagliari,Empoli,3,2,H,3,0,15,12,6,3,1,5,17,11,2,2,0,0,3,0.555556
Crotone,Udinese,1,0,H,1,0,11,13,7,4,4,8,13,10,2,2,0,0,1,0.458333
Inter,Sassuolo,1,2,A,0,1,23,12,7,4,15,2,13,13,3,1,0,0,-1,0.657143
Palermo,Genoa,1,0,H,1,0,10,13,3,3,3,9,18,18,1,1,0,0,1,0.434783
Roma,Juventus,3,1,H,1,1,14,16,7,5,5,6,9,6,3,2,0,0,0,0.466667
Sampdoria,Chievo,1,1,H,1,0,12,7,3,1,5,1,17,14,2,4,0,0,1,0.631579
Torino,Napoli,0,5,A,0,1,10,15,1,6,2,7,12,9,2,1,0,0,-1,0.4
Chievo,Roma,3,5,A,2,2,11,19,4,11,3,6,11,11,2,0,0,0,0,0.366667
Napoli,Fiorentina,4,1,H,2,0,19,14,9,5,5,6,10,8,2,1,0,0,2,0.575758
Empoli,Atalanta,0,1,A,0,1,8,13,3,5,6,5,16,17,3,2,0,0,-1,0.380952
Genoa,Torino,2,1,H,1,0,8,4,4,1,4,5,17,20,2,5,0,0,1,0.666667
Juventus,Crotone,3,0,H,2,0,19,9,7,2,9,2,13,14,1,1,0,0,2,0.678571
Lazio,Inter,1,3,A,1,2,7,9,1,3,6,6,18,14,2,2,2,0,-1,0.4375
Milan,Bologna,3,0,H,0,0,23,8,6,0,10,3,9,8,2,2,0,0,0,0.741935
Sassuolo,Cagliari,6,2,H,4,1,13,14,8,6,4,10,13,22,1,5,0,0,3,0.481481
Udinese,Sampdoria,1,1,H,1,0,12,8,3,4,6,5,9,11,1,2,2,1,1,0.6
Pescara,Palermo,2,0,H,1,0,12,12,4,3,2,2,18,10,2,0,0,0,1,0.5
Atalanta,Chievo,1,0,H,0,0,13,6,6,3,6,5,15,8,1,0,0,0,0,0.684211
Bologna,Juventus,1,2,A,0,0,8,17,2,7,3,10,17,8,3,1,0,0,0,0.32
Cagliari,Milan,2,1,H,1,0,17,18,9,7,6,6,16,13,3,1,0,1,1,0.485714
Crotone,Lazio,3,1,H,2,1,11,9,5,3,3,5,13,13,3,3,0,1,1,0.55
Fiorentina,Pescara,2,2,H,0,1,24,15,8,6,6,10,15,13,2,1,1,0,-1,0.615385
Inter,Udinese,5,2,H,3,0,17,17,6,4,6,7,15,1,2,1,0,0,3,0.5
Palermo,Empoli,2,1,H,0,0,10,17,5,4,0,7,18,16,3,4,0,0,0,0.37037
Roma,Genoa,3,2,H,1,1,24,13,7,4,6,2,8,14,2,0,0,0,0,0.648649
Sampdoria,Napoli,2,4,A,0,2,12,22,2,7,5,10,9,8,1,0,0,0,-2,0.352941
Torino,Sassuolo,5,3,H,3,2,16,21,9,7,6,10,16,6,2,0,0,0,1,0.432432
