@relation SerieA

@attribute homeTeam {Atalanta,Bologna,Cagliari,Chievo,Crotone,Empoli,Fiorentina,Genoa,Inter,Juventus,Lazio,Milan,Napoli,Palermo,Pescara,Roma,Sampdoria,Sassuolo,Torino,Udinese}
@attribute awayTeam {Atalanta,Bologna,Cagliari,Chievo,Crotone,Empoli,Fiorentina,Genoa,Inter,Juventus,Lazio,Milan,Napoli,Palermo,Pescara,Roma,Sampdoria,Sassuolo,Torino,Udinese}
@attribute homeGoalFT numeric
@attribute awayGoalFT numeric
@attribute resultFT {H,A}
@attribute homeGoalHT numeric
@attribute awayGoalHT numeric
@attribute homeShot numeric
@attribute awayShot numeric
@attribute homeShotTarget numeric
@attribute awayShotTarget numeric
@attribute homeCorner numeric
@attribute awayCorner numeric
@attribute homeFouls numeric
@attribute awayFouls numeric
@attribute homeYellow numeric
@attribute awayYellow numeric
@attribute homeRed numeric
@attribute awayRed numeric
@attribute differenceGoalHT numeric
@attribute pctHShot numeric

@data
Genoa,Pescara,1,1,H,0,0,8,12,4,4,1,5,22,10,2,3,2,0,0,0.4
Inter,Bologna,1,1,H,1,1,22,8,6,3,8,4,12,7,0,4,0,0,0,0.733333
Lazio,Empoli,2,0,H,1,0,12,9,3,3,5,6,14,7,2,2,0,0,1,0.571429
Sassuolo,Udinese,1,0,H,1,0,12,11,5,3,6,9,14,12,3,2,0,0,1,0.521739
Torino,Roma,3,1,H,1,0,18,21,9,5,7,13,15,12,1,4,0,0,1,0.461538
Cagliari,Sampdoria,2,1,H,1,0,9,18,3,2,3,10,16,15,2,3,0,0,1,0.333333
Crotone,Atalanta,1,3,A,0,3,10,12,3,8,6,3,21,14,3,1,0,1,-3,0.454545
Pescara,Chievo,0,2,A,0,0,11,15,2,4,11,5,11,14,1,3,0,0,0,0.423077
Udinese,Lazio,0,3,A,0,1,15,15,3,5,5,9,4,12,2,1,0,0,-1,0.5
Atalanta,Napoli,1,0,H,1,0,10,13,4,3,4,12,11,13,3,3,0,0,1,0.434783
Bologna,Genoa,0,1,A,0,0,6,13,3,4,7,3,8,22,1,3,2,1,0,0.315789
Cagliari,Crotone,2,1,H,1,0,14,22,9,8,6,14,14,14,0,4,0,0,1,0.388889
Empoli,Juventus,0,3,A,0,0,6,26,3,11,5,7,21,20,2,1,0,0,0,0.1875
Milan,Sassuolo,4,3,H,1,1,15,7,6,5,5,4,10,10,1,5,0,0,0,0.681818
Roma,Inter,2,1,H,1,0,19,17,8,5,3,10,9,17,1,2,0,0,1,0.527778
Sampdoria,Palermo,1,1,H,0,0,23,4,7,2,7,1,9,18,2,5,0,1,0,0.851852
Torino,Fiorentina,2,1,H,1,0,18,13,5,5,6,8,15,12,1,2,0,0,1,0.580645
Juventus,Udinese,2,1,H,1,1,15,8,5,4,4,7,11,11,1,2,0,0,0,0.652174
Napoli,Roma,1,3,A,0,1,21,14,5,6,9,1,5,16,2,3,0,0,-1,0.6
Pescara,Sampdoria,1,1,H,1,1,10,22,7,9,8,8,9,12,1,1,1,0,0,0.3125
Chievo,Milan,1,3,A,0,1,8,16,5,5,7,2,17,13,3,2,0,0,-1,0.333333
Fiorentina,Atalanta,0,0,H,0,0,17,13,6,3,7,6,14,17,3,3,0,0,0,0.566667
Genoa,Empoli,0,0,H,0,0,8,2,3,1,3,2,17,17,0,4,1,0,0,0.8
Inter,Cagliari,1,2,A,0,0,17,11,4,6,10,6,10,12,1,5,0,0,0,0.607143
Lazio,Bologna,1,1,H,0,1,25,9,8,4,18,0,13,16,4,3,0,0,-1,0.735294
Sassuolo,Crotone,2,1,H,0,1,22,8,9,1,15,1,10,22,1,3,0,0,-1,0.733333
Palermo,Torino,1,4,A,1,3,16,15,3,7,10,6,15,23,4,2,0,0,-2,0.516129
Milan,Juventus,1,0,H,0,0,8,22,2,3,5,9,19,14,4,3,0,0,0,0.266667
Sampdoria,Genoa,2,1,H,1,1,14,10,7,5,5,6,12,15,2,3,0,0,0,0.583333
Atalanta,Inter,2,1,H,1,0,11,7,8,4,4,0,19,11,2,1,0,0,1,0.611111
Bologna,Sassuolo,1,1,H,1,0,14,8,4,3,7,11,11,13,0,1,0,0,1,0.636364
Cagliari,Fiorentina,3,5,A,1,4,10,16,5,8,4,7,19,7,2,2,0,0,-3,0.384615
Crotone,Napoli,1,2,A,0,2,12,13,4,8,7,7,20,8,2,0,0,1,-2,0.48
Empoli,Chievo,0,0,H,0,0,8,13,3,2,6,3,16,28,3,3,0,1,0,0.380952
Roma,Palermo,4,1,H,1,0,18,7,7,3,4,4,11,14,3,2,0,0,1,0.72
Torino,Lazio,2,2,H,1,0,16,14,4,6,4,6,12,14,2,2,0,0,1,0.533333
Udinese,Pescara,3,1,H,1,0,9,16,4,3,6,3,12,9,2,1,0,0,1,0.36
Genoa,Milan,3,0,H,1,0,8,13,3,3,5,4,15,9,3,0,0,1,1,0.380952
Chievo,Bologna,1,1,H,0,0,10,8,3,4,6,4,18,14,0,4,0,0,0,0.555556
Fiorentina,Crotone,1,1,H,0,1,26,4,11,2,14,1,15,16,1,2,0,0,-1,0.866667
Inter,Torino,2,1,H,1,0,22,7,6,2,2,10,14,18,0,4,0,0,1,0.758621
Juventus,Sampdoria,4,1,H,2,0,13,8,7,3,5,2,6,16,0,3,0,0,2,0.619048
